seed_id,city,task_id,strategy,req_level,k,topk_overlap,capacity_regret,cap_strat,cap_oracle
1,City-A,T5,S1_CapRR,1x,1,1.0,0.0,471.2666145864673,471.2666145864673
1,City-A,T5,S1_CapRR,2x,1,1.0,0.0,471.2666145864673,471.2666145864673
1,City-A,T5,S1_CapRR,5x,2,0.5,0.10652964236888862,779.3778344532905,872.3040756714993
1,City-A,T5,S1_CapRR,10x,3,0.3333333333333333,0.08019391933452857,1129.7843886669602,1228.2854097350296
1,City-A,T5,S4_GlobalCalib,1x,1,1.0,0.0,471.2666145864673,471.2666145864673
1,City-A,T5,S4_GlobalCalib,2x,1,1.0,0.0,471.2666145864673,471.2666145864673
1,City-A,T5,S4_GlobalCalib,5x,3,0.3333333333333333,0.08019391933452857,1129.7843886669602,1228.2854097350296
1,City-A,T5,S4_GlobalCalib,10x,5,0.4,0.070729707124632,1794.5527882890497,1931.141888477147
1,City-B,T1,S1_CapRR,1x,1,0.0,0.2105007866557438,544.0038786066091,689.0492978482546
1,City-B,T1,S1_CapRR,2x,1,0.0,0.2105007866557438,544.0038786066091,689.0492978482546
1,City-B,T1,S1_CapRR,5x,2,0.0,0.14273086321473627,1139.7340480731154,1329.493853408846
1,City-B,T1,S1_CapRR,10x,3,0.6666666666666666,0.05009322333821009,1828.7833459213703,1925.2240228753526
1,City-B,T1,S4_GlobalCalib,1x,1,0.0,0.2105007866557438,544.0038786066091,689.0492978482546
1,City-B,T1,S4_GlobalCalib,2x,1,0.0,0.2105007866557438,544.0038786066091,689.0492978482546
1,City-B,T1,S4_GlobalCalib,5x,2,0.0,0.14273086321473627,1139.7340480731154,1329.493853408846
1,City-B,T1,S4_GlobalCalib,10x,4,1.0,0.0,2469.227901481962,2469.227901481962
1,City-B,T2,S1_CapRR,1x,1,1.0,0.0,637.241290818012,637.241290818012
1,City-B,T2,S1_CapRR,2x,1,1.0,0.0,637.241290818012,637.241290818012
1,City-B,T2,S1_CapRR,5x,2,0.5,0.13404407517940786,954.2162080680083,1101.9223735500186
1,City-B,T2,S1_CapRR,10x,4,0.5,0.0949129258565038,1826.9329788986079,2018.5162633412644
1,City-B,T2,S4_GlobalCalib,1x,1,1.0,0.0,637.241290818012,637.241290818012
